epoch,easy_train_acc,easy_val_acc,hard_test_acc
1,0.8945448485297386,0.9518012008005337,0.0027
2,0.9506332864232279,0.9514676450967312,0.0075
3,0.9512628694170803,0.9524683122081388,0.0435
4,0.952836826901711,0.9553035356904603,0.1019
5,0.9559847418709725,0.9584723148765844,0.1888
6,0.9621324346344715,0.9656437625083389,0.2943
7,0.9674838900822161,0.9718145430286858,0.4587
8,0.9717243167172802,0.970647098065377,0.5312
9,0.9745944744833716,0.975650433622415,0.5616
10,0.977501666543219,0.9748165443629087,0.6037
11,0.9790200725872158,0.9784856571047365,0.6776
12,0.9807051329531146,0.978819212808539,0.6608
13,0.9826864676690615,0.9823215476984657,0.7136
14,0.9840011850974002,0.9821547698465644,0.7425
15,0.9847974224131546,0.9839893262174784,0.7508
