epoch,easy_train_acc,easy_val_acc,hard_test_acc
1,0.9123768609732612,0.9513008672448299,0.0066
2,0.9505592178357158,0.9521347565043362,0.0092
3,0.9511332493889342,0.9523015343562375,0.0184
4,0.9532071698392711,0.9564709806537692,0.1365
5,0.9607992000592549,0.961974649766511,0.3154
6,0.9664469298570476,0.9684789859906604,0.411
7,0.9702429449670394,0.9721480987324883,0.4711
8,0.9738723057551293,0.973815877251501,0.5848
9,0.9759462262054662,0.973815877251501,0.6037
10,0.9787237982371676,0.9784856571047365,0.6911
11,0.9809458558625287,0.9799866577718479,0.6876
12,0.9824272276127695,0.9823215476984657,0.718
13,0.9839271165098882,0.9829886591060707,0.7335
14,0.9854455225538848,0.9824883255503669,0.7417
15,0.9866491371009555,0.9846564376250834,0.7785
